2024-07-30 21:23:22 startup archives unpack
2024-07-30 21:23:22 install libssl3:amd64 <none> 3.0.13-1~deb12u1
2024-07-30 21:23:22 status triggers-pending libc-bin:amd64 2.36-9+deb12u7
2024-07-30 21:23:22 status half-installed libssl3:amd64 3.0.13-1~deb12u1
2024-07-30 21:23:22 status unpacked libssl3:amd64 3.0.13-1~deb12u1
2024-07-30 21:23:22 install libargon2-1:amd64 <none> 0~20171227-0.3+deb12u1
2024-07-30 21:23:22 status half-installed libargon2-1:amd64 0~20171227-0.3+deb12u1
2024-07-30 21:23:22 status unpacked libargon2-1:amd64 0~20171227-0.3+deb12u1
2024-07-30 21:23:22 install dmsetup:amd64 <none> 2:1.02.185-2
2024-07-30 21:23:22 status half-installed dmsetup:amd64 2:1.02.185-2
2024-07-30 21:23:22 status unpacked dmsetup:amd64 2:1.02.185-2
2024-07-30 21:23:22 install libdevmapper1.02.1:amd64 <none> 2:1.02.185-2
2024-07-30 21:23:22 status half-installed libdevmapper1.02.1:amd64 2:1.02.185-2
2024-07-30 21:23:22 status unpacked libdevmapper1.02.1:amd64 2:1.02.185-2
2024-07-30 21:23:22 install libjson-c5:amd64 <none> 0.16-2
2024-07-30 21:23:22 status half-installed libjson-c5:amd64 0.16-2
2024-07-30 21:23:22 status unpacked libjson-c5:amd64 0.16-2
2024-07-30 21:23:22 install libcryptsetup12:amd64 <none> 2:2.6.1-4~deb12u2
2024-07-30 21:23:22 status half-installed libcryptsetup12:amd64 2:2.6.1-4~deb12u2
2024-07-30 21:23:22 status unpacked libcryptsetup12:amd64 2:2.6.1-4~deb12u2
2024-07-30 21:23:22 install libfdisk1:amd64 <none> 2.38.1-5+deb12u1
2024-07-30 21:23:22 status half-installed libfdisk1:amd64 2.38.1-5+deb12u1
2024-07-30 21:23:22 status unpacked libfdisk1:amd64 2.38.1-5+deb12u1
2024-07-30 21:23:22 install libkmod2:amd64 <none> 30+20221128-1
2024-07-30 21:23:22 status half-installed libkmod2:amd64 30+20221128-1
2024-07-30 21:23:22 status unpacked libkmod2:amd64 30+20221128-1
2024-07-30 21:23:22 install libapparmor1:amd64 <none> 3.0.8-3
2024-07-30 21:23:22 status half-installed libapparmor1:amd64 3.0.8-3
2024-07-30 21:23:22 status unpacked libapparmor1:amd64 3.0.8-3
2024-07-30 21:23:22 install libip4tc2:amd64 <none> 1.8.9-2
